order_id,order_date,customer_name,region,product_category,product_name,quantity,unit_price,revenue
ORD-039,14-Jan-2024,Grace Jackson,North,Sports,Yoga Mat,16,49.99,799.84
ORD-040,2024-01-13,Isabel Harris,East,Electronics,Wireless Headphones,13,89.99,1169.87
ORD-041,02/23/2024,Emma Miller,East,Sports,Water Bottle,16,19.99,319.84
ORD-042,02-Jan-2024,Bob Anderson,North,Sports,Foam Roller,18,34.99,629.82
ORD-043,2024-01-19,Quinn Garcia,North,Sports,Yoga Mat,17,49.99,849.83
ORD-044,03/03/2024,Tara Williams,South,Clothing,Fleece Jacket,3,74.99,
ORD-045,04-Feb-2024,Sam Clark,North,Sports,Foam Roller,8,34.99,279.92
ORD-046,2024-03-03,Sam Thompson,East,Home & Garden,Wall Clock,19,34.99,664.81
ORD-047,02/07/2024,Isabel Jackson,South,Home & Garden,Garden Hose,8,44.99,359.92
ORD-048,21-Mar-2024,Karen Williams,North,Clothing,Denim Jeans,15,59.99,899.85
ORD-048,2024-03-21,Karen Williams,North,Clothing,Denim Jeans,15,59.99,899.85
ORD-049,02/20/2024,Carol Moore,South,Sports,Foam Roller,4,34.99,139.96
ORD-050,09-Mar-2024,Carol Davis,East,Electronics,Smart Watch,12,199.99,2399.88
ORD-051,2024-02-06,James Clark,North,Home & Garden,Plant Pot,18,19.99,359.82
ORD-052,03/27/2024,David Jones,East,Sports,Water Bottle,10,19.99,
ORD-053,04-Jan-2024,Isabel Taylor,South,Sports,Water Bottle,5,19.99,99.95
ORD-054,2024-03-11,Quinn Martin,East,Clothing,Running Shorts,9,34.99,314.91
ORD-055,01/03/2024,Bob Smith,East,Home & Garden,Wall Clock,9,34.99,314.91
ORD-056,21-Jan-2024,Olivia Moore,West,Clothing,Casual T-Shirt,6,19.99,119.94
ORD-057,2024-03-01,Emma Moore,North,Electronics,Bluetooth Speaker,3,59.99,179.97
ORD-058,02/19/2024,Noah Jones,North,Sports,Water Bottle,5,19.99,99.95
ORD-059,12-Feb-2024,Grace Davis,North,Electronics,USB-C Hub,12,34.99,419.88
ORD-060,2024-02-25,Tara Jones,South,Sports,Water Bottle,14,19.99,279.86
ORD-061,01/26/2024,Alice Garcia,East,Clothing,Fleece Jacket,14,74.99,1049.86
ORD-061,26-Jan-2024,Alice Garcia,East,Clothing,Fleece Jacket,14,74.99,1049.86
ORD-062,2024-02-26,Frank Brown,West,Clothing,Waterproof Boots,9,119.99,1079.91
ORD-063,01/28/2024,Grace Harris,East,Sports,Yoga Mat,8,49.99,
ORD-064,27-Feb-2024,Alice Miller,West,Clothing,Waterproof Boots,8,119.99,959.92
ORD-065,2024-02-09,Liam Thompson,West,Electronics,Portable Charger,9,29.99,269.91
ORD-066,03/27/2024,Alice Brown,East,Sports,Water Bottle,11,19.99,219.89
ORD-067,19-Jan-2024,David Clark,West,Clothing,Casual T-Shirt,2,19.99,39.98
ORD-068,2024-02-24,Tara Thompson,North,Home & Garden,Garden Hose,14,44.99,629.86
ORD-069,02/19/2024,Bob White,North,Clothing,Running Shorts,9,34.99,
ORD-070,26-Mar-2024,Liam White,North,Sports,Water Bottle,7,19.99,139.93
